MATCH UP,SEASON,DATE,TEAM,OPPONENT,HOME/AWAY,RESULT,MIN,PTS,FGM,FGA,FG_PCT,3PM,3PA,3P_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PlusMinus
"May 25, 2019 - WAS @ CON",2019,05/25/2019,WAS,CON,Away,L,30,6,2,7,28.6,0,4,0,2,4,50,0,2,2,8,1,2,3,1,-13
"Jun 01, 2019 - WAS vs. ATL",2019,06/01/2019,WAS,ATL,Home,W,29,4,2,8,25,0,4,0,0,0,0,0,3,3,4,2,0,0,3,14
"Jun 05, 2019 - WAS vs. CHI",2019,06/05/2019,WAS,CHI,Home,W,31,12,5,11,45.5,2,5,40,0,0,0,0,0,0,5,2,0,1,2,9
"Jun 07, 2019 - WAS @ NYL",2019,06/07/2019,WAS,NYL,Away,W,35,26,9,15,60,3,6,50,5,5,100,0,4,4,8,0,1,1,2,12
"Jun 09, 2019 - WAS vs. DAL",2019,06/09/2019,WAS,DAL,Home,W,32,13,5,10,50,3,7,42.9,0,0,0,0,4,4,3,1,0,2,0,18
"Jun 11, 2019 - WAS @ CON",2019,06/11/2019,WAS,CON,Away,L,33,12,3,11,27.3,3,7,42.9,3,4,75,1,3,4,8,2,1,1,4,-8
"Jun 14, 2019 - WAS vs. SEA",2019,06/14/2019,WAS,SEA,Home,L,36,8,2,7,28.6,1,4,25,3,4,75,0,0,0,5,2,0,2,0,-9
"Jun 18, 2019 - WAS @ LAS",2019,06/18/2019,WAS,LAS,Away,W,31,7,2,5,40,1,3,33.3,2,2,100,0,4,4,5,1,1,0,1,23
"Jun 20, 2019 - WAS @ LVA",2019,06/20/2019,WAS,LVA,Away,W,33,2,1,6,16.7,0,2,0,0,0,0,0,3,3,7,1,0,1,1,14
"Jun 23, 2019 - WAS @ ATL",2019,06/23/2019,WAS,ATL,Away,W,34,9,3,10,30,0,5,0,3,3,100,0,2,2,6,2,0,0,2,16
"Jun 26, 2019 - WAS @ CHI",2019,06/26/2019,WAS,CHI,Away,W,33,8,4,11,36.4,0,3,0,0,2,0,0,4,4,5,0,0,0,1,1
"Jun 29, 2019 - WAS vs. CON",2019,06/29/2019,WAS,CON,Home,W,28,9,3,5,60,3,5,60,0,0,0,1,3,4,6,0,0,3,2,29
"Jul 07, 2019 - WAS @ LAS",2019,07/07/2019,WAS,LAS,Away,L,33,9,2,8,25,1,2,50,4,4,100,0,3,3,3,1,0,0,3,-15
"Jul 10, 2019 - WAS vs. PHO",2019,07/10/2019,WAS,PHO,Home,L,29,4,2,8,25,0,1,0,0,0,0,0,3,3,5,0,0,2,1,-20
"Jul 13, 2019 - WAS vs. LVA",2019,07/13/2019,WAS,LVA,Home,L,38,18,6,15,40,3,11,27.3,3,3,100,0,2,2,3,1,0,2,3,-2
"Jul 19, 2019 - WAS @ IND",2019,07/19/2019,WAS,IND,Away,W,39,2,1,7,14.3,0,4,0,0,2,0,0,4,4,7,2,0,0,3,-2
"Jul 21, 2019 - WAS vs. ATL",2019,07/21/2019,WAS,ATL,Home,W,30,6,2,8,25,2,5,40,0,0,0,0,3,3,6,1,1,4,2,12
"Jul 24, 2019 - WAS @ MIN",2019,07/24/2019,WAS,MIN,Away,W,35,10,4,11,36.4,1,5,20,1,1,100,0,2,2,5,2,0,4,0,0
"Jul 30, 2019 - WAS vs. PHO",2019,07/30/2019,WAS,PHO,Home,W,34,12,4,8,50,1,1,100,3,4,75,0,2,2,6,0,0,1,3,-1
"Aug 02, 2019 - WAS @ SEA",2019,08/02/2019,WAS,SEA,Away,W,33,5,2,6,33.3,1,3,33.3,0,0,0,0,3,3,3,0,0,2,2,26
"Aug 04, 2019 - WAS @ PHO",2019,08/04/2019,WAS,PHO,Away,L,24,4,1,3,33.3,0,0,0,2,2,100,1,1,2,7,1,0,1,2,-6
"Aug 05, 2019 - WAS @ LVA",2019,08/05/2019,WAS,LVA,Away,W,31,9,3,7,42.9,3,5,60,0,0,0,0,2,2,9,0,0,1,2,22
"Aug 08, 2019 - WAS vs. IND",2019,08/08/2019,WAS,IND,Home,W,34,13,5,9,55.6,3,5,60,0,0,0,0,1,1,5,2,0,1,3,11
"Aug 11, 2019 - WAS vs. MIN",2019,08/11/2019,WAS,MIN,Home,W,35,4,1,4,25,0,2,0,2,4,50,0,5,5,4,0,0,8,4,15
"Aug 14, 2019 - WAS vs. SEA",2019,08/14/2019,WAS,SEA,Home,W,25,8,3,6,50,2,2,100,0,0,0,0,0,0,3,2,0,3,1,3
"Aug 16, 2019 - WAS @ MIN",2019,08/16/2019,WAS,MIN,Away,W,37,13,5,10,50,1,4,25,2,4,50,0,1,1,8,2,0,4,1,11
"Aug 18, 2019 - WAS vs. IND",2019,08/18/2019,WAS,IND,Home,W,29,9,4,10,40,1,3,33.3,0,0,0,0,2,2,8,0,0,1,1,29
"Aug 23, 2019 - WAS @ CHI",2019,08/23/2019,WAS,CHI,Away,L,34,10,3,10,30,2,7,28.6,2,4,50,0,5,5,4,0,0,1,4,-14
"Aug 25, 2019 - WAS vs. NYL",2019,08/25/2019,WAS,NYL,Home,W,26,2,1,5,20,0,2,0,0,0,0,0,2,2,5,1,1,2,1,34
"Aug 27, 2019 - WAS vs. LAS",2019,08/27/2019,WAS,LAS,Home,W,25,15,6,7,85.7,3,4,75,0,0,0,0,0,0,6,3,0,2,2,33
"Aug 31, 2019 - WAS @ DAL",2019,08/31/2019,WAS,DAL,Away,W,35,13,5,10,50,1,5,20,2,4,50,0,1,1,3,0,0,3,5,-2
"Sep 03, 2019 - WAS @ NYL",2019,09/03/2019,WAS,NYL,Away,W,38,12,5,9,55.6,2,5,40,0,0,0,0,2,2,9,1,0,4,3,16
"Sep 06, 2019 - WAS vs. DAL",2019,09/06/2019,WAS,DAL,Home,W,37,4,2,5,40,0,2,0,0,2,0,1,0,1,5,0,0,2,3,13
"Sep 08, 2019 - WAS vs. CHI",2019,09/08/2019,WAS,CHI,Home,W,29,8,2,7,28.6,2,5,40,2,2,100,2,2,4,6,2,0,3,1,7
"May 15, 2021 - WAS vs. CHI",2021,05/15/2021,WAS,CHI,Home,L,30,8,2,10,20,0,4,0,4,4,100,2,5,7,3,4,0,1,1,-13
"May 18, 2021 - WAS vs. PHO",2021,05/18/2021,WAS,PHO,Home,L,31,18,7,12,58.3,2,6,33.3,2,2,100,0,1,1,2,1,0,1,2,-13
"May 21, 2021 - WAS vs. NYL",2021,05/21/2021,WAS,NYL,Home,W,28,6,2,10,20,2,3,66.7,0,0,0,0,5,5,8,0,0,2,1,26
"May 23, 2021 - WAS @ IND",2021,05/23/2021,WAS,IND,Away,L,33,5,2,7,28.6,1,4,25,0,0,0,0,2,2,2,2,0,6,2,-6
"May 25, 2021 - WAS @ IND",2021,05/25/2021,WAS,IND,Away,W,26,3,1,4,25,1,3,33.3,0,0,0,0,3,3,7,0,0,1,4,3
"May 28, 2021 - WAS @ CON",2021,05/28/2021,WAS,CON,Away,L,36,2,1,6,16.7,0,3,0,0,0,0,0,4,4,3,1,0,3,4,1
